ID,Description,Is Active,Creation Date,Mod If Date,Delete Date,Example,Topic Category ID,Creation User ID,Guide,Mod If User ID,Category ID,Delete User ID,Ilg ID,Is Deleted,Sdg ID,Proposal ID,Sa Sb Industry ID,Is Core
1,"Companies have a legal responsibility to ensure that advertising about their products and services is truthful and not deceptive. Ad agencies play a vital role in the creation of ad content and are responsible for advising their clients regarding applicable regulations. Consumer protection laws provide guidance and restrictions on advertising to children and on advertising regulated products, such as alcohol and tobacco.",0,,2021-10-28T16:38:52+02:00,,,1,1,www.impaakt.com/knowledge-centre/wrongful-advertising,8355.0,,,,False,,,56,False
2,"Companies have a legal responsibility to ensure that advertising about their products and services is truthful and not deceptive. While much of the burden of compliance with regulations about ad content and placement lies with the client, ad agencies play a vital role in the creation of ad content and are responsible for advising their clients regarding applicable regulations. Consumer protection laws provide guidance and restrictions on advertising to children and on advertising regulated products, such as alcohol and tobacco. Regulators may investigate the involvement of the ad agency in any deceptive advertising and take action against the agency. Advertising and marketing companies exposed to these regulations and concerns have responded by participating in self-regulatory programs that address these areas.",0,,,2022-12-13T09:52:26+01:00,,2,1,,,,6139.0,,True,,,56,False
3,"Companies have a legal responsibility to ensure that advertising about their products and services is truthful and not deceptive. While much of the burden of compliance with regulations about ad content and placement lies with the client, ad agencies play a vital role in the creation of ad content and are responsible for advising their clients regarding applicable regulations. Consumer protection laws provide guidance and restrictions on advertising to children and on advertising regulated products, such as alcohol and tobacco. Regulators may investigate the involvement of the ad agency in any deceptive advertising and take action against the agency. Advertising and marketing companies exposed to these regulations and concerns have responded by participating in self-regulatory programs that address these areas.",0,,,,,3,1,,,,,,False,,,56,False
5,"Due to the increasing prevalence of social media, location-based mobile applications, and e-commerce, the digital footprints of customers offer a more complete picture of their habits than was previously available to advertisers. Advertisers can collect and/or purchase highly detailed information about the habits and lives of buyers, and advertising strategies can be precisely targeted. Being part of an industry that uses large quantities of data about private citizens, advertising and marketing companies must weigh the benefits of targeted advertising versus customer concerns about data privacy.",0,,,,,4,1,,,,,,False,,,56,False
6,"<p><span style=""font-size: 12pt; font-family: Arial;"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;The topic addresses management of risks related to the collection, retention, and use of sensitive, confidential, and/or proprietary customer or user data. It includes social issues that may arise from incidents such as data breaches in which personally identifiable information (PII) and other user or customer data may be exposed. It addresses a company&rsquo;s strategy, policies, and practices related to IT infrastructure, staff training, record keeping, cooperation with law enforcement, and other mechanisms used to ensure security of customer or user data.\n\nFind out how to treat this topic in this how-to guide.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:1063809,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:12,&quot;23&quot;:1}"">The topic addresses the management of risks related to the collection, retention, and use of sensitive, confidential, and/or proprietary customer or user data. It includes social issues that may arise from incidents such as data breaches in which personally identifiable information (PII) and other user or customer data may be exposed. It addresses a company&rsquo;s strategy, policies, and practices related to IT infrastructure, staff training, record keeping, cooperation with law enforcement, and other mechanisms used to ensure the security of customer or user data.<br /><br />Find out how to treat this topic in this <a href=""https://www.impaakt.com/how-to-guides/data-security-and-privacy"" target=""_blank"" rel=""noopener"">how-to guide</a>.</span></p>",0,,2021-12-13T12:26:07+01:00,2021-12-13T12:26:07+01:00,,5,1,,6139.0,,6139.0,,True,,,56,False
7,"<p>The topic addresses why representation within a company is important. This will include the organizational makeup of a company, specifically the number of female/male employees. The topic addresses both underrepresentation and overrepresentation of female representation and the effects of this. Developing a broad base of employees that are valued, respected, and supported throughout an organization is essential for empowering women. While some companies may have a high level of gender diversity among lower-level employees, they may still lack diversity among senior management. Enhancing workforce gender diversity, particularly among management positions, is likely to help employees gain skills and become empowered.</p>
<p>To include:</p>
<ul>
<li>How underrepresentation negatively impacts women&rsquo;s standing in society, and why it is an issue that women are underrepresented in the workplace.</li>
<li>Background information and statistics on gender diversity/inequality in that particular society and/or industry.</li>
<li>The total number of people working at the specific company in question and the % of women for the most recent year reported.</li>
<li>The % of women in leadership (preferably, if available, distinguished between management, the executive level, and on the board). If not reported on, this can be based on a visual outlook (from pictures on the company&rsquo;s website).</li>
<li>A comparison with gender diversity in society/country threshold/industry average/competitor comparison depending on what information is available.</li>
<li>Define whether there is a glass ceiling effect or not.</li>
</ul>
<p>Nice to have:</p>
<ul>
<li>Gender pay gap, gender turnover rate, initiatives that the company has started to increase gender diversity at the company.</li>
<li>Parental leave (and whether this differs for men vs. women).</li>
<li>Reviews from Glassdoor etc. on workplace experiences (from men vs. women).</li>
</ul>
<p>Note (!):</p>
<p>Always use company reports over external sources. If unavailable, you can use external sources if the discrepancy between the number of employees mentioned in that source versus what the company reports is below 20%.</p>",1,,2022-07-05T18:34:31+02:00,,https://app.impaakt.com/analyses/19809,6,1,www.impaakt.com/knowledge-centre/gender-diversity,14464.0,2.0,,3.0,False,22.0,,56,False
8,"<p>Aerospace and defense companies have operations in regions with weaker government enforcement of business ethics laws. Companies in this industry have been found in violation of corruption and anti-bribery laws (such as the U.S. Foreign Corrupt Practices Act (FCPA) and the U.K. Bribery Act). Corruption wastes taxes or rates that have been earmarked for important community projects &ndash; resulting in poor quality services or infrastructure.</p>
<p>To include:</p>
<ul>
<li>How much was spent in bribes</li>
<li>To whom the bribes were given and for what purpose, like bribing public servants to gain contracts</li>
<li>Where the corruption has taken place</li>
<li>Specific social impacts on the population in those regions</li>
<li>History of wrongdoing</li>
</ul>
<p>Not to include:</p>
<ul>
<li>Just practices and fines from violations</li>
</ul>",0,,2022-04-06T08:40:14+02:00,,https://app.impaakt.com/analyses/18829/rollsroyce-repeatedly-involved-in-bribery-cases-in-different-countries,7,1,www.impaakt.com/how-to-guides/bribery,8355.0,,,,False,,,51,False
9,"Companies in the Aerospace & Defense industry may develop sensitive military and advanced aviation products, and companies in this industry may therefore be at a high risk for cyber attacks. A data security breach can be costly for a company and its clients when information systems are compromised. Ensuring data security may require aerospace and defense companies to invest in research and development and increase capital expenditures in the short to medium term to improve the security of their systems and their products. Significant or frequent disruptions or security breaches may result in regulatory action, legal action, or adversely impact revenues and brand value.
The topic addresses the impact related to the collection, retention, and use of sensitive, confidential, and/or proprietary customer or user data. It includes social issues that may arise from incidents such as data breaches in which personally identifiable information (PII) and other user or customer data may be exposed. It addresses a company’s strategy, policies, and practices related to IT infrastructure, staff training, record keeping, cooperation with law enforcement, and other mechanisms used to ensure security of customer or user data.",0,,,,,8,1,,,,,,False,,,51,False
10,"<p><span style=""font-size: 12pt; font-family: Arial;"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;The topic addresses management of risks related to the collection, retention, and use of sensitive, confidential, and/or proprietary customer or user data. It includes social issues that may arise from incidents such as data breaches in which personally identifiable information (PII) and other user or customer data may be exposed. It addresses a company&rsquo;s strategy, policies, and practices related to IT infrastructure, staff training, record keeping, cooperation with law enforcement, and other mechanisms used to ensure security of customer or user data.\n\nFind out how to treat this topic in this how-to guide.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:1063809,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:12,&quot;23&quot;:1}"">The topic addresses the management of risks related to the collection, retention, and use of sensitive, confidential, and/or proprietary customer or user data. It includes social issues that may arise from incidents such as data breaches in which personally identifiable information (PII) and other user or customer data may be exposed. It addresses a company&rsquo;s strategy, policies, and practices related to IT infrastructure, staff training, record keeping, cooperation with law enforcement, and other mechanisms used to ensure the security of customer or user data.<br /><br />Find out how to treat this topic in this <a href=""https://www.impaakt.com/how-to-guides/data-security-and-privacy"" target=""_blank"" rel=""noopener"">how-to guide</a>.</span></p>",0,,2021-10-28T15:14:47+02:00,,https://app.impaakt.com/analyses/10908/facebook-has-leaked-data-of-533-million-facebook-users-from-106-countries,5,1,www.impaakt.com/knowledge-centre/data-privacy-security,8355.0,,,,False,,,51,False
11,"The category  topic ""Operational Energy Consumption"" addresses environmental impacts associated with energy consumption. It addresses the company’s management of energy in manufacturing and/or for provision of products and services derived from utility providers (grid energy) not owned or controlled by the company. More specifically, it includes management of energy efficiency and intensity, energy mix, as well as grid reliance. Upstream (e.g., suppliers) and downstream (e.g., product use) energy use is not included in the scope.

The topic ""Efficient Energy Solutions"" addresses environmental impacts associated with green energy solutions. ",0,,,,,9,1,,,,,,False,,,51,False
