Note ID,Tr Entity → Company Name,Tr Entity Key Fact → Value,Tr Entity → ISIN,St SASB Industry - Sa Sb Industry → Name,Tr Topic Category - Topic Category → Name,St Datapoint - Datapoint → Name,Value,Unit,Data Quality,Data Scope,Year,St Datapoint - Datapoint → Format,Modif Date,Tr Topic - Topic → Is Active
27240,Hakuhodo,8377569127.0,JP3766550002,Advertising & Marketing,Employee Gender Diversity,% of women in upper management,10.5,%,Disclosed,Complete,2019.0,percentage,2023-09-05T09:50:00+02:00,1
27240,Hakuhodo,8377569127.0,JP3766550002,Advertising & Marketing,Employee Gender Diversity,% of women on the board of directors,0.0,%,Disclosed,Complete,2019.0,percentage,2023-09-05T09:50:00+02:00,1
133220,WPP,18358328202.0,JE00B8KF9B49,Advertising & Marketing,Employee Gender Diversity,% of women in total workforce,56.0,%,Disclosed,Complete,2021.0,percentage,2023-03-16T13:12:30+01:00,1
133220,WPP,18358328202.0,JE00B8KF9B49,Advertising & Marketing,Employee Gender Diversity,% of women in upper management,39.0,%,Disclosed,Complete,2021.0,percentage,2023-03-16T13:12:30+01:00,1
133220,WPP,18358328202.0,JE00B8KF9B49,Advertising & Marketing,Employee Gender Diversity,% of women on the board of directors,38.5,%,Disclosed,Complete,2021.0,percentage,2023-03-16T13:12:30+01:00,1
133220,WPP,18358328202.0,JE00B8KF9B49,Advertising & Marketing,Employee Gender Diversity,gender pay gap,22.2,%,Disclosed,Partial,2021.0,percentage,2023-12-01T19:37:29+01:00,1
133402,Omnicom,14276700160.0,US6819191064,Advertising & Marketing,Employee Gender Diversity,% of women in upper management,50.9,%,Disclosed,Complete,2021.0,percentage,2023-03-16T10:38:07+01:00,1
133402,Omnicom,14276700160.0,US6819191064,Advertising & Marketing,Employee Gender Diversity,% of women on the board of directors,60.0,%,Disclosed,Complete,2021.0,percentage,2023-03-16T10:38:07+01:00,1
133402,Omnicom,14276700160.0,US6819191064,Advertising & Marketing,Employee Gender Diversity,gender pay gap,6.6,%,Disclosed,Partial,2021.0,percentage,2023-03-16T10:38:07+01:00,1
133926,JC Decaux,3387044528.0,FR0000077919,Advertising & Marketing,Employee Gender Diversity,% of women in total workforce,32.7,%,Disclosed,Complete,2021.0,percentage,2023-04-10T13:36:22+02:00,1
133926,JC Decaux,3387044528.0,FR0000077919,Advertising & Marketing,Employee Gender Diversity,% of women in upper management,0.0,%,Disclosed,Complete,2023.0,percentage,2023-09-07T18:58:22+02:00,1
133926,JC Decaux,3387044528.0,FR0000077919,Advertising & Marketing,Employee Gender Diversity,% of women on the board of directors,41.7,%,Disclosed,Complete,2023.0,percentage,2023-04-10T13:36:22+02:00,1
