ID,Name,Code,Units,Creation Date,Format,Has Intensity,Modif Date,Official Unit,Capture,Delete Date,Creation User ID,Display,Modif User ID,Delete User ID
1,scope 1 emissions,scope-1-emissions,"""tco2e"", ""tco2""",2022-11-21T10:47:28+01:00,ghg_scope,True,,tco2e,True,,14464,True,,
2,scope 2 emissions (market-based),scope-2-emissions-market-based,"""tco2e"", ""tco2""",2022-11-21T10:47:28+01:00,ghg_scope,True,2023-11-10T14:13:11+01:00,tco2e,True,,14464,True,6139.0,
3,scope 3 emissions,scope-3-emissions,"""tco2e"", ""tco2""",2022-11-21T10:47:28+01:00,ghg_scope,True,,tco2e,True,,14464,True,,
4,scope 1 + 2 emissions,scope-1-2-emissions,"""tco2e"", ""tco2""",2022-11-21T10:47:28+01:00,ghg_scope,True,,tco2e,True,,14464,True,,
5,scope 1 + 2 + 3 emissions,scope-1-2-3-emissions,"""tco2e"", ""tco2""",2022-11-21T10:47:28+01:00,ghg_scope,True,,tco2e,True,,14464,True,,
6,total energy consumption,total-energy-consumption,"""GWh""",2022-11-21T10:47:28+01:00,standard,True,2022-11-30T18:10:28+01:00,GWh,True,,14464,True,14464.0,
7,% of renewable energy used,of-renewable-energy-used,"""%""",2022-11-21T10:47:28+01:00,percentage,False,,%,True,,14464,True,,
8,capital invested in R&D,capital-invested-in-rd,"""usd"", ""eur""",2022-11-21T10:47:28+01:00,monetary,True,2023-06-02T14:00:17+02:00,usd,True,,14464,True,6139.0,
9,% of the total sales,of-the-total-sales,"""%""",2022-11-21T10:47:28+01:00,percentage,False,,%,True,,14464,True,,
10,total water consumption,total-water-consumption,"""m3"", ""megalitres"", ""kilolitres"", ""litres"", ""gallons""",2022-11-25T10:12:07+01:00,standard,True,,m3,True,,14464,True,,
11,total water withdrawal,total-water-withdrawal,"""m3"", ""megalitres"", ""kilolitres"", ""litres"", ""gallons""",2022-11-25T10:12:07+01:00,standard,True,,m3,True,,14464,True,,
12,withdrawal / operations in high water-stressed areas,withdrawal-operations-in-high-water-stressed-areas,,2022-11-25T10:12:07+01:00,boolean,False,,,True,,14464,True,,
13,withdrawal / operations in medium water-stressed areas,withdrawal-operations-in-medium-water-stressed-areas,,2022-11-25T10:12:07+01:00,boolean,False,,,True,,14464,True,,
14,withdrawal / operations in low water-stressed areas,withdrawal-operations-in-low-water-stressed-areas,,2022-11-25T10:12:07+01:00,boolean,False,,,True,,14464,True,,
15,% of water recycled or reused,of-water-recycled-or-reused,"""%""",2022-11-25T10:12:07+01:00,percentage,False,,%,True,,14464,True,,
16,absolute amount of recycled water,absolute-amount-of-recycled-water,"""m3"", ""megalitres"", ""kilolitres"", ""litres"", ""gallons""",2022-11-25T10:12:07+01:00,standard,True,,m3,True,,14464,True,,
17,total jobs created,total-jobs-created,"""jobs""",2022-11-28T18:46:39+01:00,standard,True,2023-06-02T14:00:41+02:00,jobs,True,,14464,True,6139.0,
18,industry average salary,industry-average-salary,,2022-11-28T18:46:39+01:00,comparator,False,,,True,,14464,True,,
19,average taxes paid yearly,average-taxes-paid,"""eur"", ""usd""",2022-12-02T14:52:27+01:00,monetary,True,2023-12-18T11:25:04+01:00,usd,False,,14464,True,209.0,
